PA_FORM; PRAZO_PA; CRÍTICO; PEITEM; EQUIP1; LLE; IDT_BF; COD_CICLO_RECOZ_LIB_BF; DIM_LARG_BF; ESP_VIS; Peso; DiamExt; PROD; GRUPO_ACO; NORMA; TROCA_DE_Ciclo; ULT_EQUIP; DT_HH_ULT_PROCESSO; Estocagem2; ObsCarreg; Observacao; DataHoraTXT
1D04/22;2022041;;00551901   07;REC;;24205847;03;1030;1,539;12,05;1521;BF;1AS-COR350;4;8 e 1;20;27/06/2022 20:39:00;2;;;30/06/2022 05:59:35
1D06/22;2022061;;00558176   17;REC;;24181661;13;1175;2,631;12,59;1467;BF;1IF-PC200;4;10, 11 e 7;20;21/06/2022 07:18:00;9;;;30/06/2022 05:59:35
1D07/22;2022071;;00559401   21;REC;;24152364;06;1009;0,462;21,02;1954;BF;1AA-QC0000;4;1;20;21/06/2022 09:40:00;9;;;30/06/2022 05:59:35
1D07/22;2022071;;00561254   05;REC;;24201615;07;893;1,232;20,95;2061;BF;1IF-DMD;4;11 e 10;20;27/06/2022 20:26:00;2;Carregar posição A;;30/06/2022 05:59:35
1D08/22;2022081;;00555906   05;REC;;24208468;08;1208;0,758;27,44;2032;BF;1AA-QC0000;4;;20;27/06/2022 15:55:00;3;Carregar posição A;;30/06/2022 05:59:35
1D08/22;2022081;;00557870   11;REC;;24204341;08;1206;1,919;27,17;2024;BF;1AA-QC0000;4;1, 3 e 2;20;27/06/2022 09:54:00;3;;;30/06/2022 05:59:35
1D08/22;2022081;;00557870   11;REC;;24208548;08;1206;1,919;27,05;2020;BF;1AA-QC0000;4;1, 3 e 2;20;27/06/2022 09:49:00;3;;;30/06/2022 05:59:35
1D08/22;2022081;;00560623   03;REC;;24166264;06;1208;0,462;23,17;1881;BF;1AA-QC0000;4;1;20;21/06/2022 15:19:00;9;;;30/06/2022 05:59:35
1D08/22;2022081;;00560996   15;REC;;24152456;08;1208;0,758;24,4;1928;BF;1AA-QC0000;4;;20;20/06/2022 13:40:00;10;;;30/06/2022 05:59:35
1D08/22;2022081;;00561338   17;REC;;24191955;01;1057;0,707;23,85;2025;BF;1AA-QC0000;4;;20;27/06/2022 18:20:00;3;;;30/06/2022 05:59:35
1D08/22;2022081;;00562615   09;REC;;24193961;07;857;1,932;19,63;2039;BF;1IF-DMD;4;11 e 10;20;28/06/2022 10:06:00;2;Carregar posição A;;30/06/2022 05:59:35
1D08/22;2022081;;00562615   09;REC;;24197308;07;879;1,932;18,84;1979;BF;1IF-DMD;4;11 e 10;20;27/06/2022 20:30:00;2;;;30/06/2022 05:59:35
1D08/22;2022081;;00562615   09;REC;;24197310;07;863;1,932;20,04;2052;BF;1IF-DMD;4;11 e 10;20;28/06/2022 09:54:00;2;Carregar posição A;;30/06/2022 05:59:35
1D08/22;2022081;;00562615   09;REC;;24201664;07;859;1,932;20;2054;BF;1IF-DMD;4;11 e 10;20;28/06/2022 09:59:00;2;Carregar posição A;;30/06/2022 05:59:35
2D05/22;2022052;;00553394   05;REC;;24150033;11;1430;1,232;16,02;1494;BF;1IF-DMD;4;10 e 7;20;15/06/2022 20:50:00;14;;;30/06/2022 05:59:35
2D05/22;2022052;;00553394   05;REC;;24201025;11;896;1,232;20,37;2032;BF;1IF-DMD;4;10 e 7;20;27/06/2022 20:21:00;2;;;30/06/2022 05:59:35
